%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
233.92896,679.81384,0
674.744,-211.6471,1
-814.6694,917.7384,0
-409.87146,-539.8782,1
996.4995,-580.73926,1
-185.78217,-356.0052,1
730.3706,-79.86218,1
-449.30658,-203.8172,1
-159.10889,59.607544,0
604.4226,-924.01587,1
-478.37488,-214.25317,1
35.254883,87.805664,0
567.1006,220.91418,0
-61.883423,-790.2358,1
470.59338,-368.61792,1
-113.42383,-931.9885,1
874.62036,-634.0364,1
750.87585,-32.12207,0
945.4912,-588.3525,1
-162.24146,-92.61371,1
760.84717,559.95166,0
-401.7555,-824.364,1
-620.806,85.912964,1
-489.161,-521.98584,1
903.0116,312.3329,0
-828.51575,-967.8571,1
552.1057,465.10254,0
107.89331,142.9231,0
-468.56018,-178.86957,1
384.73364,391.9911,0
307.7677,308.6056,0
-322.54364,766.35596,0
801.96265,-559.9752,1
-833.6073,-197.0628,1
959.01904,-258.37872,1
339.07263,140.17969,0
175.28027,688.53296,0
-412.458,744.8711,0
-857.4789,-436.74933,1
-651.2114,521.74365,0
811.09937,625.59204,0
-539.7883,-984.60693,1
379.45874,-484.3512,1
388.40002,-521.49805,1
-515.1472,-93.1427,1
-961.68915,707.3082,0
-899.76855,84.54797,1
-38.732117,734.7096,0
-965.18634,346.0293,0
-45.96881,-276.6466,1
-609.0551,-98.5332,1
277.51147,-784.49243,1
847.4188,300.52173,0
22.53595,273.46826,0
219.51843,-682.0856,1
511.3971,-16.292542,0
-611.3876,701.7826,0
47.747925,299.9214,0
-600.78186,-778.0931,1
813.7294,-735.4112,1
-710.97766,-949.419,1
-737.9504,275.60706,0
-952.57074,667.103,0
-37.93933,254.0216,0
-9.218323,-802.4275,1
532.70447,320.82214,0
-202.51898,-615.1233,1
31.530762,905.2272,0
-536.1907,-770.5447,1
967.817,-916.1623,1
-478.66504,-250.36475,1
-30.85199,-610.51227,1
999.36035,281.02942,0
54.640137,330.5769,0
820.9507,-732.302,1
454.32666,-573.87915,1
-411.341,-406.5279,1
-36.95642,-311.28864,1
46.14026,-839.9541,1
928.48975,177.02661,0
894.42847,-360.8589,1
-853.04376,491.48987,0
-903.275,-890.74255,1
176.5542,-98.87512,1
323.12744,-366.7804,1
876.5951,166.61035,0
-233.19446,740.9397,0
343.10608,-936.0094,1
205.7074,252.51318,0
834.2919,-884.5518,1
888.9602,909.9706,0
766.08203,-901.9965,1
-405.2959,881.71375,0
406.73132,527.954,0
-963.819,361.8617,0
510.76782,-491.67807,1
-314.5277,-792.55853,1
806.41345,78.53259,0
39.362427,-160.44287,1
986.92676,519.995,0
369.38086,-519.62305,1
-344.84906,948.2158,0
-921.84595,205.9784,0
531.87036,961.5243,0
-73.223206,265.79773,0
162.41638,118.44238,0
-397.00977,-347.37048,1
-657.7164,-419.81085,1
367.53296,-997.17035,1
-468.6504,381.7555,0
-153.89148,-435.42657,1
-362.38116,484.4463,0
-573.00885,-807.27277,1
-274.7608,-985.2672,1
179.37048,-887.9061,1
437.86792,-91.28259,1
725.11316,536.4944,0
227.29028,558.46045,0
-923.3034,-860.64624,1
838.5276,-4.1225586,0
96.6521,842.15894,0
926.49036,-348.13696,1
-61.072937,420.36328,0
165.57031,-207.24512,1
600.15784,-977.98773,1
-237.61365,363.2024,0
-461.07648,-147.43,1
-106.76935,153.95752,0
-786.3742,-999.87177,1
261.58667,965.0591,0
-655.2792,658.38367,0
707.4241,-250.66406,1
724.6062,850.4719,0
598.7969,-401.8947,1
-521.45575,-835.05176,1
597.60535,-129.6029,1
822.58203,-14.087585,0
315.20618,768.9877,0
-430.49683,-767.5274,1
359.88477,230.98083,0
901.431,-281.5489,1
-672.9658,-872.37463,1
-742.22656,-98.56531,1
-605.7913,457.51147,0
-420.21722,-989.02185,1
357.05127,-530.75696,1
-391.91785,328.96924,0
-821.5774,464.13635,0
447.0835,-259.12958,1
421.885,406.44482,0
-809.6933,584.7528,0
302.02515,-591.93335,1
43.182007,295.74182,0
-492.07413,-343.35345,1
-914.99994,-623.3015,1
-557.5728,-579.57196,1
579.2484,821.6603,0
-931.35706,-609.82324,1
-428.34424,276.77283,0
-833.47144,807.93884,0
407.83813,-55.857483,1
-523.87555,584.35815,0
-242.47559,517.2468,0
-59.575317,-79.27521,1
-250.08618,-717.76025,1
59.653687,-171.11597,1
-95.20514,927.69434,0
230.05518,-618.4155,1
-313.3612,576.02686,0
-135.8664,527.8008,0
713.9514,83.05029,0
-924.3921,872.01685,0
923.75195,747.8076,0
-238.82678,943.4092,0
321.12085,233.04028,0
22.489807,-829.6753,1
-663.6605,717.3473,0
-954.3535,27.39746,1
267.2212,-916.7043,1
-208.3219,637.10535,0
-198.18658,291.44714,0
150.53845,484.51782,0
196.72449,-1.5353394,0
-427.73596,-156.5586,1
328.91235,-51.82837,1
-387.11084,-985.8798,1
-456.1535,-302.36615,1
-680.9995,537.10486,0
990.5333,836.04175,0
-76.350525,174.85388,0
963.97546,-987.6285,1
-62.33197,-357.91425,1
668.2102,808.5065,0
-605.7401,817.85205,0
768.15295,777.70544,0
741.0707,-513.24146,1
-883.94995,814.005,0
-327.23438,533.70825,0
