%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 10000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-411.1571,-465.1092,1
-920.59576,-166.45642,1
-258.61548,-768.49396,1
898.92834,-641.1958,1
484.34485,-660.00183,1
424.11926,-912.8235,1
-237.49573,-565.4304,1
386.7312,773.4855,0
798.20447,425.44067,0
862.7058,257.177,0
-128.44086,198.79065,0
88.12952,-638.2038,1
804.37415,635.1633,0
886.1533,-986.9512,1
970.5864,808.1571,0
-447.8932,-559.2564,1
-154.5044,57.797974,1
764.7355,3.736145,0
858.0039,-411.93268,0
-625.2998,913.32837,0
624.54333,255.6399,0
-232.82642,-70.59741,1
520.31396,-703.03564,1
-96.42273,964.897,0
-17.082703,-116.60779,1
118.2041,458.05994,0
945.4144,599.14685,0
278.672,-641.7522,1
360.29968,-795.5045,1
-985.1382,-380.14392,1
902.82764,376.56897,0
-620.8074,210.30652,1
631.5858,512.8518,0
521.791,811.8385,0
636.162,137.44177,0
747.3152,-366.82043,0
-483.7973,-32.242676,1
-334.10248,-953.9974,1
913.1166,279.44995,0
58.87195,-877.59955,1
-744.8713,849.85486,0
-449.34528,573.43945,0
-621.6571,465.3938,0
211.35242,-924.81805,1
-249.07465,745.91956,0
810.37415,517.3939,0
654.4746,869.072,0
-400.47675,-678.5159,1
-133.90607,-329.70892,1
-775.2444,-351.95288,1
-863.36,-450.78522,1
-351.015,50.7135,1
-924.92957,630.7617,1
-185.97247,-68.1651,1
-74.23248,-290.71747,1
177.97498,-983.1359,1
-834.82947,646.7374,0
234.99097,988.11426,0
-154.00232,-899.05994,1
-342.26996,-595.08704,1
181.797,727.4801,0
798.27844,85.992065,0
991.5144,329.02124,0
-58.278748,-758.7157,1
-686.7772,-181.75433,1
927.14294,814.1261,0
-251.89215,-684.20593,1
-465.9272,-268.80835,1
-89.73895,222.13123,0
378.08582,56.3136,0
734.7803,-317.65826,0
-32.52118,405.67432,0
336.1361,505.44177,0
43.639038,-594.3228,1
-389.29022,-695.1314,1
360.92896,-538.86224,1
841.86707,394.38928,0
-342.38666,-349.73737,1
-807.1184,-196.25342,1
-272.44342,174.21082,1
-837.5241,670.93945,0
223.12415,-537.1397,1
-170.29822,223.11328,0
-897.07886,774.73413,0
29.333984,-424.38623,1
-516.29126,-72.13776,1
-524.0955,658.83374,0
64.03784,-340.30988,1
293.9585,-274.93536,1
-742.15356,-962.0316,1
-585.93445,92.63928,1
709.4669,330.88794,0
-141.42816,52.231445,1
-42.80493,793.5536,0
68.0354,-809.7439,1
670.7748,939.2156,0
-891.2646,-223.10657,1
108.85498,37.508423,0
-146.39703,-678.6653,1
-774.3202,-181.72723,1
43.372192,-85.56995,1
-798.02515,658.3662,0
511.70398,-441.00598,1
-916.8043,890.1952,0
797.48865,330.60193,0
679.00977,-705.47156,1
869.4852,-83.20734,0
911.083,-673.51624,1
-247.0899,850.1649,0
391.9464,-827.59863,1
-525.4613,-419.06104,1
175.92456,346.6526,0
-67.65967,-572.87085,1
343.8048,-788.74365,1
-952.3847,-604.4475,1
366.1344,537.5045,0
872.0597,884.4772,0
35.733154,27.626587,0
199.13489,358.79102,0
-831.7865,-424.14862,1
-331.42682,231.15149,1
240.00305,972.0519,0
354.80127,387.6526,0
666.5659,737.4872,0
-605.47894,-935.87415,1
519.22437,830.9846,0
335.63574,109.26843,0
-862.8133,-924.76965,1
-420.83533,63.371338,1
312.08447,-673.32983,1
-462.2561,936.4962,0
505.5338,648.84436,0
-51.239624,-912.4689,1
-94.069275,-952.18726,1
-842.8756,-814.371,1
38.898193,689.65234,0
-877.86707,878.11584,0
116.50586,-56.160583,0
-595.1644,494.0298,0
-656.41766,-917.3455,1
456.76245,880.03125,0
-4.8511353,-984.4233,1
-842.1696,-704.4946,1
237.2013,48.96521,0
-259.30438,186.25122,0
383.77405,335.14917,0
990.7726,611.2334,0
-433.5808,-588.6216,1
-74.40454,-885.54944,1
-362.05823,-972.0845,1
-965.8525,-85.94879,1
-459.56927,-674.1242,1
596.24084,-576.594,1
338.33105,-650.7477,1
-396.02118,-676.0757,1
650.5045,861.89,0
371.7887,-323.0182,1
310.9298,-511.00046,1
-951.53577,892.40137,0
745.897,-685.865,1
934.1113,763.51,0
-223.74841,236.37927,0
-243.15704,233.8728,0
336.4513,-371.18274,1
-121.477905,-921.6207,1
947.8948,-861.7992,1
-224.1933,261.443,0
692.1937,-172.96265,0
82.200195,-622.35614,1
900.75366,283.16443,0
-21.2323,-714.7704,1
-189.76111,808.1986,0
-214.37091,-189.53448,1
-970.80365,345.07605,1
-766.7053,230.90112,1
-180.68243,-583.7687,1
82.35962,138.20154,0
915.52075,17.785645,0
512.0315,236.2677,0
-107.76105,151.44873,0
-987.5887,647.94995,1
929.0012,474.6621,0
-607.59094,383.73486,1
-763.4,-589.15674,1
-45.37738,-231.63416,1
