%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 100
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
64.69812,-33.75325,1
35.92131,-3.496605,0
99.65227,84.755875,0
-82.65009,5.02092,1
-58.07464,-76.770966,1
-1.9516907,92.88028,0
30.94403,-52.773758,1
-83.745636,-4.407707,1
-77.2385,-32.27751,1
73.60095,-99.238144,1
55.52791,-42.989456,1
-46.519,-71.666595,1
-59.131313,-90.339966,1
-85.43318,97.057755,0
-64.42822,26.224564,0
-92.26802,-41.123993,1
12.241814,-55.54123,1
7.0069427,33.111435,0
18.087975,46.12758,0
-6.167755,78.805405,0
-12.230873,27.060364,0
88.75615,-93.77103,1
-40.771507,-66.07726,1
85.85594,47.54689,0
30.707367,-56.750675,1
12.545822,-18.193954,1
92.635376,86.601,0
11.065796,-59.133976,1
-30.14724,-89.719666,1
17.830292,10.584244,0
17.627586,98.85965,0
2.9467468,85.513916,0
-70.81095,-11.154137,1
24.598022,35.568115,0
33.005493,52.12697,0
-48.384903,-0.45129395,1
84.79379,38.415466,0
12.44899,33.134033,0
92.25435,-68.276184,1
-60.11562,7.8647003,1
49.784225,-2.022171,0
-1.7806625,82.86223,0
5.927864,-20.80603,1
3.2691803,52.46016,0
38.083923,-75.783104,1
-24.565277,10.623276,0
66.993225,36.833954,0
-97.79173,66.97514,0
7.791603,69.15341,0
28.873505,99.45009,0
-75.0811,-8.545998,1
-55.211864,-64.96936,1
34.93303,-70.717026,1
87.52101,-87.27303,1
-15.713829,74.40103,0
-51.751675,-98.099785,1
18.377647,48.241882,0
29.196198,-75.77332,1
53.706055,24.875282,0
77.549774,-40.95459,1
66.70096,5.032219,0
-99.86806,99.52695,0
20.822433,-26.428528,1
-50.71269,-28.953827,1
-32.22605,69.83705,0
62.79016,23.3377,0
-20.816933,-46.323948,1
39.227707,-35.542458,1
-8.139221,59.457428,0
-64.806984,17.269966,0
82.759415,-3.748413,0
81.75444,48.12387,0
-70.99392,-25.597961,1
35.051605,-57.421745,1
53.89662,17.039635,0
-0.49951935,84.48184,0
-88.50695,49.661102,0
91.973114,32.406967,0
-79.52502,-48.28669,1
-48.549755,81.38339,0
22.153557,-98.804596,1
41.027924,-51.92722,1
8.064079,46.610825,0
-62.207882,-76.02988,1
-60.688446,-99.827896,1
-39.042152,-96.08633,1
62.850815,61.98117,0
49.802658,-83.87005,1
-80.8589,-43.02173,1
70.306595,-44.763767,1
31.122604,-5.2266083,1
-96.95618,51.06775,0
66.22012,-52.956467,1
-55.245937,-6.107643,1
71.08711,-21.99955,1
42.154404,-19.47908,1
93.06119,60.503006,0
-31.064713,46.01651,0
22.809471,63.709045,0
-44.483036,-97.84873,1
