%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 100
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-426.60895,-595.89233,1
-57.15912,39.728394,1
-491.71582,-81.426025,1
-747.402,-538.7521,1
-159.05304,-409.38226,1
-797.26483,-861.4679,1
-920.01666,-823.85693,1
-686.3839,-470.524,1
-908.0537,-747.1611,1
-30.338806,-656.46484,1
-561.82025,-438.82172,1
-211.13501,-337.5633,1
-924.04736,-919.3209,1
-34.931335,-647.15405,1
21.938171,-339.25177,1
-427.40338,-421.65265,1
-913.45325,-327.4037,1
-574.49817,44.951294,1
57.43982,-469.74493,0
-4.32251,-74.427,1
-660.24615,-655.3526,1
-84.5202,4.529541,1
-50.86151,24.95227,1
-178.73431,-36.912354,1
-798.34094,-373.8252,1
-565.61053,-808.55444,1
-948.0586,-939.1243,1
-74.28815,-738.73486,1
-2.366394,-253.56952,1
-331.43793,-174.02466,1
-305.6648,-753.0157,1
-446.64453,-766.4515,1
-689.40796,-908.5671,1
-285.29333,-661.69354,1
97.38074,-194.69269,0
-691.11206,-515.4562,1
-849.2957,-614.6465,1
-724.12854,-894.6383,1
-190.50293,-129.10522,1
-74.045166,-364.91498,1
53.982666,-274.26935,0
-593.895,-927.00757,1
-248.04248,-161.6311,1
-674.33057,-40.18225,1
-357.833,-123.19269,1
-945.011,-763.41125,1
-954.9809,-203.12805,1
-446.292,-52.152466,1
-948.6713,0.2890625,1
-861.78455,-471.84662,1
-140.3927,-129.79108,1
-840.339,-327.99927,1
11.617126,-422.18018,1
-264.62122,-167.11389,1
-85.52191,-146.01935,1
-342.6902,-772.7556,1
-164.432,-345.52795,1
-608.84436,-66.67511,1
-186.22034,-883.495,1
-20.497803,-526.18884,1
-452.6021,-392.45197,1
-828.9559,-545.9075,1
-105.065674,-894.6772,1
-683.70166,-104.4223,1
-39.29486,-280.0103,1
97.833984,-744.70685,0
31.76416,76.085205,0
-699.9419,-440.75745,1
-713.00024,-887.3072,1
-630.01996,-602.39246,1
-387.21918,-664.3801,1
76.1438,-265.14996,0
-467.51575,-234.9762,1
-161.94952,77.13306,1
-410.4375,-334.02838,1
-627.0929,-686.79266,1
-484.49304,-972.1651,1
-909.57776,-996.9851,1
-34.86078,-528.7831,1
-440.36493,-269.25702,1
-87.89038,-491.72495,1
-425.60535,-134.08282,1
-432.69177,-836.1546,1
-643.87476,87.35083,1
-187.90851,-519.30664,1
53.89392,-479.6223,0
-273.19757,-817.4909,1
-67.43762,-282.2312,1
-256.98804,-147.06793,1
-620.0598,-120.902954,1
-544.7677,-592.0663,1
-686.6317,-647.9616,1
-5.4470825,-907.6946,1
-174.95148,-507.79446,1
-307.2757,-981.2105,1
-126.30267,-24.408081,1
-149.33698,-509.43765,1
-292.26337,-740.44336,1
-729.82324,-595.6809,1
92.24902,-125.486145,0
