%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 20
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-984.1697,-962.6646,1
-985.3454,-835.7794,1
-797.48883,-148.0268,1
-443.9082,-82.606384,1
-762.72455,-199.23633,1
-690.3021,-130.23138,1
-834.2593,-457.18604,1
-863.46814,-150.73627,1
-446.9225,-787.72437,1
-76.433105,-169.89154,1
-993.62384,-605.5405,1
-79.33679,-179.60315,1
-20.324707,-668.47736,1
-363.8836,-856.7079,1
-822.06525,-752.02704,1
-879.3606,-609.971,1
-188.65936,-426.88788,1
-898.10364,-404.8683,1
-620.7569,-196.28662,1
-744.2218,-925.1447,1
