%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-901.66406,-853.0328,1
-546.68066,25.649292,0
-737.0838,469.96106,0
953.53394,581.7916,1
-203.77588,-849.62305,1
-763.7852,522.6096,0
-594.0343,-749.1665,1
-178.22595,590.55676,0
300.40393,-951.9121,1
109.20923,-123.89331,1
-451.65247,-220.67725,1
-394.23206,249.61096,0
-645.2234,558.54016,0
-508.53067,184.4856,0
-772.2493,-437.75574,1
-161.14624,-232.80316,1
967.32556,-133.20148,1
-455.3349,-996.02686,1
-575.2195,-834.4545,1
-171.0069,-588.8835,1
60.53943,1.9806519,1
-981.26465,315.2483,0
471.7433,-874.02496,1
256.06335,291.7693,1
-734.48773,-886.7553,1
758.9088,734.2742,1
-78.48572,483.96692,0
-690.68945,674.60754,0
-382.46814,214.6488,0
-243.20697,-337.29358,1
-615.6991,758.0536,0
497.77612,767.3246,0
410.97107,469.1958,1
-871.6586,573.18835,0
-159.88538,-318.88043,1
-233.49023,-572.9142,1
-28.707092,582.374,0
-98.48523,-875.15356,1
-565.2379,-481.19135,1
51.380737,733.11694,0
-398.0177,-624.4916,1
996.44666,304.2992,1
267.17065,-709.60315,1
-94.6991,869.96094,0
-535.783,-890.7662,1
280.92578,-712.5094,1
-824.14136,712.44324,0
-671.32947,266.71606,0
-352.90924,-372.59802,1
84.00928,-782.339,1
32.363647,185.53247,1
436.86084,437.56836,1
186.2002,-108.26337,1
-949.4221,-405.23114,0
-450.5586,-355.58038,1
-902.4551,-531.06934,1
288.4088,-22.452637,1
719.645,-528.32495,1
-888.152,-408.10828,0
170.6903,598.4999,0
-479.40015,-899.1841,1
-290.76447,152.4021,0
-362.4828,136.6571,0
-515.97595,831.5464,0
220.23181,-253.03265,1
890.64197,587.78076,1
976.9458,355.57568,1
176.78528,-960.2529,1
885.5067,471.63757,1
-565.1256,-836.2019,1
-141.40057,800.5425,0
-455.425,-512.12537,1
802.9668,443.75073,1
114.1156,77.95703,1
888.1521,470.33728,1
-981.88116,-766.3437,1
670.3292,-698.78064,1
740.9922,998.9612,0
-390.62976,67.75232,0
408.75122,346.1139,1
472.37317,389.57776,1
-871.5231,-794.9618,1
-865.5449,-137.68903,0
53.437622,387.6974,0
367.69067,-46.136597,1
-546.7675,-103.787476,0
351.65613,978.88916,0
992.14404,-894.47485,1
844.11523,-645.942,1
405.21106,875.84094,0
217.96631,-567.4465,1
-189.63141,-222.95636,1
900.6384,-125.59979,1
6.3204956,296.724,1
-855.2852,729.92773,0
-720.3534,155.41772,0
-486.37097,196.88245,0
480.97034,667.104,1
983.8651,-642.6014,1
428.84058,459.9652,1
145.16614,-890.7536,1
-938.6885,811.8645,0
-377.16376,-23.523132,1
179.03125,356.94873,1
551.29944,517.7859,1
-890.0212,-15.758789,0
695.6549,-353.37708,1
-825.18335,-623.9652,1
648.0481,335.27393,1
443.1527,823.3589,0
-581.7455,895.8512,0
944.8379,-292.26422,1
-307.04828,-685.6769,1
236.74951,352.90588,1
55.73169,-40.574585,1
24.339111,827.1454,0
539.98596,396.4928,1
398.55542,716.25867,0
-970.62683,-993.0432,1
-827.4237,-110.71997,0
-774.34564,-352.5428,1
-210.88586,-156.63116,1
171.26587,-321.78137,1
317.88818,341.3407,1
644.0692,348.54456,1
174.18237,744.72595,0
-865.69727,-252.01129,0
363.23962,-302.7962,1
-431.1651,314.9607,0
-708.4343,627.70776,0
465.39587,-759.7672,1
-514.948,-80.5412,0
779.5454,-988.98926,1
915.1456,-469.37012,1
-650.28894,811.9415,0
58.13159,354.2998,1
550.708,-467.37122,1
298.91296,669.8098,0
533.7345,-273.0675,1
839.50964,-335.41248,1
260.90662,-972.4685,1
-116.182434,-805.04535,1
-565.0145,-760.06824,1
-455.9945,-293.60748,1
-619.9834,-376.69513,1
650.24805,548.187,1
946.1875,-288.75476,1
-555.6736,794.33203,0
-407.71527,433.7384,0
998.9546,122.021484,1
-58.291443,272.33362,0
128.51587,301.01318,1
313.08447,-286.28058,1
-456.7743,411.60303,0
-5.9141846,362.60327,0
-952.438,-964.10406,1
357.162,732.99866,0
