%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 100
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
26.679672,93.58229,1
11.340225,92.22122,1
-65.62119,89.0016,1
-6.4170456,71.09912,1
81.1622,-43.929737,0
-1.7710037,-2.7476807,0
81.30777,-37.260746,0
77.2536,-55.160084,0
22.55516,-27.60154,0
19.008133,69.01782,1
-90.25463,80.959015,1
10.294685,-27.700142,0
54.523773,-87.04159,0
-6.0299225,56.677933,1
-86.787674,88.41319,1
68.81377,-90.73857,0
53.2769,-4.2231903,0
59.83983,-79.04638,0
-36.61391,-63.756706,0
-75.07209,95.69064,1
-87.12176,-59.230175,1
-42.405933,-27.973404,1
13.523544,-96.42552,0
-4.0829315,-50.644024,0
39.788467,-75.50203,0
54.081528,87.822525,0
23.38034,-92.49889,0
-44.305717,33.97133,1
-46.330452,-76.29737,0
66.97586,-86.54106,0
87.658066,14.744606,0
-96.87594,27.644012,1
1.4824829,-14.094337,0
12.5923,-7.3612366,0
0.010467529,-81.73497,0
-68.27986,-32.590668,1
41.90988,15.353142,0
-53.900623,31.771088,1
-65.36002,-7.8925858,1
95.25386,-4.3673477,0
7.1343536,-87.41533,0
-86.34319,-52.399944,1
-22.484085,-12.235695,1
13.804535,84.06059,1
99.004166,-44.09059,0
-13.988998,-0.8765564,1
89.24545,85.33557,0
14.7827835,61.3022,1
26.617393,-36.929935,0
93.079285,-45.41804,0
-68.37135,62.766907,1
-46.54148,-80.478264,0
-57.644268,21.37613,1
29.054138,94.30066,1
39.928894,-3.5518036,0
-92.47571,26.124,1
-16.600769,24.587677,1
47.558777,-99.836464,0
72.889786,-43.547134,0
-9.774239,-83.78641,0
-24.246674,-95.169266,0
-83.61489,-67.49711,1
-77.469894,9.699799,1
-23.409828,-8.390518,1
-92.180725,97.825836,1
-48.654343,45.184235,1
-84.25248,94.318695,1
87.28429,-97.804184,0
30.539291,29.710693,0
-1.2297134,-60.331596,0
-10.237068,-21.499565,0
-75.36703,35.390533,1
91.147644,63.738373,0
-13.820625,-91.168015,0
-26.563766,-32.886642,0
5.3295975,-10.487129,0
57.55902,-4.86779,0
-89.33559,71.32721,1
-43.515068,69.36714,1
-15.630325,-43.168987,0
-59.574757,32.37877,1
-15.492592,47.262665,1
-21.363083,-9.194878,1
-85.261116,-7.9287796,1
-30.108253,53.23996,1
-92.42972,75.98613,1
-79.25154,-37.093437,1
-62.61335,-7.830406,1
34.085052,-26.234276,0
85.98555,26.750633,0
-70.08115,73.57999,1
46.01671,63.047775,0
-63.63763,-81.41166,1
66.679565,3.045082,0
-39.367085,11.828911,1
21.2258,-0.8061371,0
78.35474,-69.22015,0
-92.74061,91.3707,1
63.96248,-10.128822,0
78.5217,51.82962,0
