%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-73.4256,336.66797,0
698.5404,-955.7346,0
746.25195,404.761,0
204.28723,277.7672,0
-719.84674,-98.47302,0
-707.1377,-18.811462,0
-597.29675,-199.18164,1
-490.17947,294.35168,0
-624.01184,-688.54395,1
164.56348,-315.7475,0
488.1682,-91.76306,1
-234.38031,-656.30133,0
13.262634,-494.92084,0
-96.593506,319.891,1
283.97424,569.1758,1
748.7516,-173.23016,0
-270.0984,-321.9076,1
988.8364,-523.42346,1
-387.1147,628.5106,0
-305.46283,-128.10394,0
688.1937,-407.29272,1
-287.42963,990.7871,1
277.3379,-42.389404,0
-295.63654,-720.44995,0
241.85828,-64.199036,1
-993.1408,-610.9517,1
-572.4963,466.36682,1
757.9905,443.88123,1
-521.31494,578.00903,1
-5.4782104,-144.58667,1
21.471619,612.93396,0
69.30371,-440.20886,1
441.0774,-552.67816,0
219.43286,-395.55194,0
541.7942,125.72485,0
-489.2044,-11.223022,1
822.5348,779.5746,1
846.2186,197.98865,0
822.09814,44.771606,0
5.8812866,908.7295,1
-278.6881,744.5504,0
-364.5003,-310.3551,1
-785.5902,-230.34924,0
149.49036,312.31885,1
503.19458,870.24146,0
-793.90894,514.224,0
-607.6984,-431.25452,1
866.1948,45.558716,0
983.5386,-700.8572,1
988.15283,-240.04572,1
836.9159,-40.306824,1
-348.52985,-107.40808,1
984.4158,709.2838,0
351.36194,869.5885,0
-507.61987,513.4508,1
865.50916,-285.3083,1
855.9198,-280.97626,0
-340.24896,-87.82648,0
204.07446,-35.516357,0
660.3386,-659.0716,1
-228.61505,-231.5252,0
-540.0578,-649.5277,1
367.67236,-972.83746,0
419.81604,-715.09686,1
-485.52777,-168.26373,1
-347.92126,-300.2694,1
718.8218,-976.46454,1
-921.5873,-573.59656,0
71.78613,862.95715,1
322.83838,631.6814,1
382.7942,-679.7882,1
358.51672,-451.2113,1
-372.11853,615.56885,0
-62.513,-76.61505,0
-819.6255,652.182,0
-172.68243,-937.6327,1
-469.77228,-602.13855,0
793.01196,-816.296,1
750.725,-321.03094,1
723.1638,-629.02075,0
449.90027,439.3994,1
26.953247,-489.0818,1
-696.09546,573.5885,1
737.61035,-846.5486,0
-690.5301,841.60925,0
-943.37585,143.18408,0
755.1797,87.37048,1
363.20203,333.54773,1
-417.23376,572.1909,1
-909.00226,759.25024,1
-379.78204,-636.22253,1
-971.6303,701.4852,0
291.89307,-363.16193,0
-687.3924,-629.9592,0
364.70422,791.9263,0
39.639893,27.045898,1
-564.9219,-576.9198,0
-530.6061,712.4215,0
-96.122986,-604.3955,0
